id_cells,sp,yr,pop_25km_log,bio_1,bio_12,bio_15,bio_4,n_chilling_days_winter,onset_doy,offset_doy,dur,phen_onset_cat,growth_form
cell_7232,Acmispon glaber,2019,2.772169093002296,17.120050316663068,440.4657314277094,126.3009721382563,376.2830996255203,0,44,161,116.60356893476933,Spring,Woody_perennial
cell_7416,Acmispon glaber,2018,3.2298634489915337,18.323840920195515,167.8485750159813,117.63571974442863,314.23720365372594,0,28,240,212.0822714660494,Spring,Woody_perennial
cell_7416,Acmispon glaber,2019,3.2298634489915337,17.585761873105128,429.84091505769106,119.8348726718116,288.1340102845444,0,34,212,177.76233511798574,Spring,Woody_perennial
cell_7417,Acmispon glaber,2017,3.2861234615234416,18.638975594562236,328.9234382041379,186.57607297970875,346.6947968117777,0,26,223,197.43440570713219,Spring,Woody_perennial
cell_7417,Acmispon glaber,2018,3.2861234615234416,18.365821609349826,246.84358527137158,119.64152289813363,362.89193608096673,0,71,148,76.91123289546925,Spring,Woody_perennial
cell_7417,Acmispon glaber,2019,3.2861234615234416,17.430678058087228,503.0298228422572,124.74538211574941,382.7310774672967,0,28,213,184.88962903458474,Spring,Woody_perennial
cell_7418,Acmispon glaber,2018,2.08906372993226,17.36404260510221,303.9444329972966,112.50423481017272,501.04906835161944,9,29,173,143.72383452281807,Spring,Woody_perennial
cell_7602,Acmispon glaber,2017,2.999907633145429,18.568618553638203,386.38083478854674,196.29335931535164,390.1283808604372,0,54,120,65.82414070706609,Spring,Woody_perennial
cell_7602,Acmispon glaber,2018,2.999907633145429,18.415198158276354,276.8584946844195,119.48921706114574,410.66274800872264,0,73,137,63.8060508611822,Spring,Woody_perennial
cell_7602,Acmispon glaber,2019,2.999907633145429,17.674254346138035,576.0932060776728,128.6943199483171,443.55724897455195,1,52,155,102.51184962564568,Spring,Woody_perennial
cell_7604,Acmispon glaber,2017,0.692284675898787,16.15812754654251,505.9685333177384,192.56797511341512,591.6433302642852,46,16,218,202.17618348321375,Spring,Woody_perennial
cell_7604,Acmispon glaber,2018,0.692284675898787,15.90462555530737,358.63872671453345,116.83058427160164,617.777733869978,19,28,119,91.25935733477397,Spring,Woody_perennial
cell_7604,Acmispon glaber,2019,0.692284675898787,14.400317713670887,845.7517466324418,126.93329110493954,648.1493603502383,41,31,234,203.17633545387946,Spring,Woody_perennial
cell_7786,Acmispon glaber,2017,2.9218029334632964,16.652000427246094,281.8100280761719,191.47418681378826,290.2532022160812,0,59,170,110.93956843223974,Spring,Woody_perennial
cell_7786,Acmispon glaber,2018,2.9218029334632964,16.527000427246094,224.12501525878906,119.72053683773147,347.107611926383,0,33,262,229.47932130098553,Spring,Woody_perennial
cell_7786,Acmispon glaber,2019,2.9218029334632964,15.892001152038574,484.7630310058594,121.78200061568596,337.2351565318168,0,38,271,233.49653256181946,Spring,Woody_perennial
cell_7787,Acmispon glaber,2018,2.7433512555355484,18.244399444784158,290.04595050289225,112.39424447485415,418.9028880603064,2,62,175,113.34627704046729,Spring,Woody_perennial
cell_7787,Acmispon glaber,2019,2.7433512555355484,17.3565483899728,622.1706591437273,126.45878584164905,454.0352730428232,4,41,296,254.6237000512319,Spring,Woody_perennial
cell_7789,Acmispon glaber,2018,0.590901044020917,14.443715953838772,356.6452426866187,115.3623908288533,613.5122720201701,22,45,115,69.60534260941802,Spring,Woody_perennial
cell_7789,Acmispon glaber,2019,0.590901044020917,13.068775659166029,762.8870680505747,131.12457746926856,643.3261264332638,44,31,304,273.34924241413785,Spring,Woody_perennial
cell_8155,Acmispon glaber,2017,3.089260620396938,17.956930138991222,298.69129122568035,202.1547617834623,313.7624196512266,0,25,292,267.3178203412691,Spring,Woody_perennial
cell_8155,Acmispon glaber,2019,3.089260620396938,16.999337297693142,539.387555360552,128.33311906112093,355.84925736288193,0,37,215,178.38338373963904,Spring,Woody_perennial
cell_8156,Acmispon glaber,2018,1.696317355441905,18.29489541510381,259.35154427112445,115.68635002382719,395.97592560639185,2,56,146,90.36180275639117,Spring,Woody_perennial
cell_8156,Acmispon glaber,2019,1.696317355441905,17.088662833352924,736.4816917162902,130.77975157150485,459.17428020004775,6,23,298,274.84818964380054,Spring,Woody_perennial
