id_cells,n_chill_days_rcp85_2030,n_chill_days_rcp85_2050,bio1_rcp85_2030,bio1_rcp85_2050,bio4_rcp85_2030,bio4_rcp85_2050,pop_25km_2030,pop_25km_2050,bio12_rcp85_2030,bio12_rcp85_2050
cell_7232,0,0,18.128495970215752,18.999759265004293,313.5893894270688,315.21705722918153,384.8902797605731,550.5866564805705,285.28064371645536,263.7003749606568
cell_7416,0,0,18.422273276964496,19.27891456182809,276.56913950098453,278.2254729185,1422.5463114654767,1547.8931959352115,256.6609204636938,235.31821001402756
cell_7417,0,0,18.81164625256639,19.692042999532603,365.73245192908377,367.4035040116333,1262.5316935170526,1435.9432295041374,322.7259518128344,297.0863680065669
cell_7418,0,0,17.835209901104207,18.739116226896833,482.7553991118409,484.64265771836244,47.96080931611807,65.01059984506647,461.1313307995578,427.7150842653369
cell_7602,0,0,18.998332281017674,19.888653792343227,409.12603314112937,410.5195064185055,720.2188099273762,848.354743208348,355.71786832285653,327.1153507810146
cell_7604,0,0,16.316205025859023,17.24935830160779,585.9853223708583,588.0301176630104,6.756934676744867,6.781662504768593,554.940578187429,520.259705295978
cell_7786,0,0,17.399949901016075,18.281122186994036,284.1043741501667,286.20639815241947,850.5162832410392,1022.0986475028543,283.26866636752516,259.46620795526405
cell_7787,0,0,18.508363755474768,19.41181454489792,408.48078297738476,410.8997004077947,728.4253844874656,883.9899867625805,416.0052612527711,382.5050894019853
cell_7789,4,0,15.118417405692377,16.05899408370342,585.8493807276843,588.3017568066208,1.0470996923351399,1.1346277568209808,514.905181567498,487.16317556192513
cell_8155,0,0,18.060792733741337,18.951252319952285,321.7371439422943,324.16962290649997,742.6541460184653,893.9068654268746,334.3496344558946,304.0585281528185
cell_8156,0,0,18.670783500509614,19.581888046743963,396.14864187067406,399.7091550689289,81.54468673548396,135.7230279436888,459.26157781975337,420.5236766238801
cell_8339,0,0,18.333540141929664,19.221674189723732,300.98405122547547,303.62116807957517,1154.6133549932867,1404.3866599668554,319.13165191900555,288.33626495267225
cell_8340,0,0,19.063803868585193,19.971334412107435,353.890147876393,356.8691210489911,2210.3279909201874,2551.4742130742425,343.15265316162663,311.72501954645725
cell_8341,0,0,18.95654553463156,19.884914672527888,513.5153287649578,517.4183012780144,423.0849901875929,486.0193194244304,518.0499966598126,473.00822004260783
cell_8342,0,0,18.744479534396653,19.6899069995925,527.650624207538,531.4191750266325,315.99855110959845,408.0509523854349,315.5213037592188,288.9542476621604
